siren,division,dateCreationUniteLegale,annee,brevets,CIR,idEti
489332908,22,2006,2017,0.0,0.0,1
489626135,71,2006,2017,0.0,1121320.76,1
489804930,25,2006,2017,1.0,88000.0,1
489938084,72,2006,2017,0.0,5693000.0,1
491975496,72,2006,2017,0.0,6241.0,1
494539224,71,2007,2017,0.0,5218000.0,0
500212188,29,2007,2017,0.0,313334.0,1
500440813,62,2007,2017,0.0,11077656.0,0
501161798,29,2007,2017,1.0,2933000.0,0
501537831,71,2007,2017,1.0,0.0,0
501737472,72,2007,2017,0.0,0.0,1
504313891,30,2008,2017,0.0,1615462.0,1
504940925,72,2008,2017,11.0,6952000.0,0
508955754,72,2008,2017,1.0,0.0,0
509232591,30,2008,2017,0.0,1544000.0,1
509835104,71,2009,2017,2.0,67227.0,1
510508716,72,2009,2017,2.0,293552.0,1
515450088,30,1963,2017,6.0,2423000.0,0
515580421,29,1955,2017,5.0,510000.0,1
517702833,20,2009,2017,0.0,0.0,0
519032247,30,2009,2017,86.0,0.0,0
519139273,71,2009,2017,0.0,1379000.0,0
519166888,72,2009,2017,0.0,0.0,1
519874598,62,2010,2017,0.0,1028138.0,0
522713734,25,2010,2017,1.0,56992.0,1
533063889,25,2011,2017,1.0,15000.0,1
534870803,71,2011,2017,0.0,0.0,0
535205660,32,2011,2017,0.0,0.0,0
538295742,29,2011,2017,3.0,1235213.0,0
538465865,29,2011,2017,0.0,87122.0,1
538760125,22,2012,2017,4.0,1476000.0,1
539072793,71,2011,2017,0.0,0.0,0
542065479,29,1954,2017,984.0,42333000.0,0
542094750,29,1998,2017,0.0,7506000.0,0
544501927,32,1954,2017,1.0,105303.0,1
549800522,71,1954,2017,0.0,303998.34,1
552016487,20,1955,2017,17.0,651597.0,0
552081739,22,1955,2017,34.0,0.0,1
552105603,25,1955,2017,0.0,218096.0,1
552134454,22,1955,2017,0.0,122767.0,1
552139677,21,1955,2017,1.0,0.0,1
562110965,30,1956,2017,0.0,0.0,1
562128132,20,1900,2017,3.0,631825.0,1
569800873,71,1900,2017,6.0,238000.0,0
572051571,25,1957,2017,0.0,101000.0,1
572082253,20,1900,2017,0.0,8993331.0,0
582012340,25,1900,2017,0.0,0.0,1
599815073,20,1900,2017,13.0,26853688.0,1
600801468,22,1960,2017,1.0,76742.0,1
602033185,62,1960,2017,3.0,2339000.0,1
605620442,32,1956,2017,3.0,396653.0,1
612039495,26,1961,2017,1.0,0.0,0
622037083,20,1977,2017,120.0,20846687.0,0
630800084,30,1963,2017,10.0,1640000.0,0
642005177,20,1973,2017,0.0,0.0,1
646050476,25,1960,2017,2.0,0.0,1
652025370,29,1985,2017,18.0,5442000.0,0
662001403,71,1966,2017,38.0,3600000.0,1
662025006,22,1966,2017,1.0,0.0,1
662037704,20,1983,2017,0.0,237388.0,1
662043405,30,1900,2017,0.0,6776979.0,0
667280143,29,1972,2017,0.0,0.0,1
673620399,20,1967,2017,27.0,43800000.0,0
676250111,21,1962,2017,5.0,12411.0,1
682008222,71,1968,2017,0.0,271991.0,1
685550444,71,1955,2017,0.0,109926.0,1
709806079,30,1982,2017,2.0,0.0,1
709806624,22,1970,2017,0.0,0.0,1
709807408,21,1900,2017,1.0,408008.0,1
719803249,22,1971,2017,0.0,109082.0,1
720501410,20,1972,2017,3.0,1214000.0,1
722045879,71,1985,2017,3.0,4492000.0,1
759200454,22,1959,2017,3.0,452979.0,1
768200610,25,1958,2017,1.0,0.0,0
775424914,29,1973,2017,5.0,1285000.0,0
775580434,20,1958,2017,0.0,1208640.0,1
775662257,21,1973,2017,0.0,0.0,0
777346412,32,1965,2017,1.0,826937.0,1
778127613,30,1970,2017,4.0,7900000.0,0
778151944,22,1960,2017,1.0,0.0,1
785506338,30,1900,2017,0.0,0.0,1
790020846,71,2012,2017,5.0,789955.0,1
790503973,62,2013,2017,0.0,128883.0,0
791567092,22,2013,2017,1.0,673570.0,1
796380426,25,1963,2017,2.0,551000.0,1
799325246,72,2013,2017,5.0,3524.0,0
871500229,22,1971,2017,3.0,0.0,1
897080289,26,1970,2017,7.0,2114930.0,1
950020180,32,1980,2017,1.0,28733.0,1
954506077,29,1954,2017,2.0,26500000.0,0
957503642,32,1957,2017,3.0,575471.32,1
300560588,20,1900,2018,1.0,323947.0,1
302456199,62,1985,2018,0.0,0.0,1
304849094,71,1982,2018,0.0,78067.0,1
