siren,2016_CIR,2017_CIR,2018_CIR,2019_CIR,2020_CIR,2021_CIR,2022_CIR,2023_CIR,activitePrincipaleUniteLegale,categorieEntreprise,Division,somme_CIR
900917790.0,,,,,,0.0,0.0,140989.0,71.12B,ETI,71,
901015123.0,,,,,,,,0.0,71.12B,ETI,71,
901193839.0,,,,,,0.0,0.0,24130.0,62.02A,ETI,62,
901230276.0,,,,,,,0.0,0.0,62.01Z,ETI,62,
901238923.0,,,,,,0.0,0.0,,20.42Z,GE,20,
901422659.0,,,,,,,0.0,0.0,71.12B,ETI,71,
901599464.0,,,,,,10609.0,0.0,0.0,62.02A,ETI,62,
901603217.0,,,,,,,0.0,,96.09Z,GE,96,
901622316.0,,,,,,,0.0,0.0,32.99Z,ETI,32,
901660597.0,,,,,,0.0,0.0,,62.01Z,GE,62,
901683375.0,,,,,,0.0,0.0,,62.01Z,ETI,62,
901729616.0,,,,,,,,0.0,96.02B,ETI,96,
901786756.0,,,,,,0.0,0.0,0.0,71.20B,ETI,71,
901815324.0,,,,,,,0.0,0.0,62.01Z,ETI,62,
901842450.0,,,,,,,0.0,0.0,71.12B,GE,71,
901866624.0,,,,,,,196.0,0.0,72.11Z,GE,72,
901890632.0,,,,,,0.0,0.0,0.0,25.61Z,ETI,25,
901893149.0,,,,,,0.0,0.0,,95.22Z,ETI,95,
901926121.0,,,,,,0.0,,,95.29Z,ETI,95,
902021633.0,,,,,,0.0,0.0,,95.22Z,ETI,95,
902060722.0,,,,,,0.0,0.0,0.0,20.15Z,ETI,20,
902271154.0,,,,,,0.0,0.0,0.0,71.12B,ETI,71,
902303064.0,,,,,,,0.0,0.0,71.12B,ETI,71,
902323948.0,,,,,,0.0,0.0,0.0,62.02A,ETI,62,
902331479.0,,,,,,,,0.0,62.02B,ETI,62,
902383041.0,,,,,,0.0,0.0,0.0,96.04Z,ETI,96,
902420199.0,,,,,,,0.0,0.0,96.04Z,ETI,96,
902513928.0,,,,,,0.0,0.0,,95.22Z,ETI,95,
902579036.0,,,,,,,0.0,0.0,20.42Z,ETI,20,
902679281.0,,,,,,0.0,0.0,0.0,71.12B,ETI,71,
902685486.0,,,,,,0.0,0.0,,95.22Z,ETI,95,
902724368.0,,,,,,0.0,0.0,,95.22Z,ETI,95,
902731348.0,,,,,,,,0.0,62.01Z,ETI,62,
903014108.0,,,,,,0.0,0.0,0.0,62.01Z,GE,62,
903150415.0,,,,,,,,0.0,71.12B,ETI,71,
903152411.0,,,,,,0.0,0.0,0.0,71.12B,ETI,71,
903205136.0,,,,,,,,0.0,71.12B,ETI,71,
903405504.0,,,,,,0.0,,,95.22Z,ETI,95,
903535060.0,,,,,,,0.0,,62.01Z,GE,62,
903746873.0,,,,,,,0.0,0.0,71.12B,ETI,71,
903800639.0,,,,,,,0.0,0.0,62.02A,ETI,62,
903869071.0,,,,,,0.0,0.0,0.0,71.20B,GE,71,
903869618.0,,,,,,0.0,0.0,0.0,71.20B,GE,71,
903897791.0,,,,,,0.0,0.0,0.0,71.12B,ETI,71,
903901734.0,,,,,,,0.0,,29.20Z,ETI,29,
